CondensedBinary2DGeometry,BandGapLocation,BandGapWidth
10,497.0116577,22.6972663
11,467.9290183,85.65493622
100,687.6367054,37.40981452
101,721.2827768,61.60475601
110,464.3477675,46.35470747
111,445.8453909,75.48117321
1000,891.7131755,33.49744715
1010,706.1919225,21.54359582
1011,445.5576303,12.87077476
1101,760.4765302,24.87165212
1110,765.7198846,304.8711601
1111,840.7748772,347.9731824
10000,686.6092827,72.2305187
10001,867.2269851,129.4717262
10010,947.9146965,56.92793938
10011,925.7870809,71.67336207
10110,717.0944942,28.78453747
10111,712.8913672,23.49676441
11000,650.351169,130.8669008
11100,635.9802074,63.64100866
11101,663.2826389,22.22491598
11110,769.2999022,10.21735639
11111,1326.441752,28.87861231
100001,507.6374699,32.07131497
100010,472.3266525,52.62112413
100011,450.9830937,96.3312115
100100,714.6284121,164.2892066
100101,468.7402551,46.86969731
100110,439.5985856,49.67824168
100111,423.9428745,73.60508174
101010,693.8601365,73.53857371
101011,429.8280215,16.87285003
101100,543.6636938,62.0515097
101101,844.8820176,401.7787633
101110,859.104982,425.8561226
101111,852.9928008,419.5355726
110001,979.2699779,45.59627856
110010,937.8799173,127.9769344
110011,926.3589037,135.9374478
110100,836.6858821,10.18731968
110101,762.601038,18.44720039
110110,702.6363291,30.54668135
110111,694.9705802,29.18742161
111000,636.6314771,64.45990561
1000000,911.1695094,34.09724339
1000001,637.7674911,72.46057114
1000010,488.1945709,33.20408194
1000011,467.6046829,66.71959347
1000100,620.2626824,38.99599953
1000101,438.7187901,15.89547238
1000110,436.3788634,19.98063845
1000111,422.7674527,42.30035005
1001000,949.2680646,195.8622174
1001001,723.9009661,86.67124125
1001010,814.2177994,371.0205672
1001011,892.0747936,485.0823657
1001100,629.854209,12.78597794
1001101,671.5477492,103.4479976
1001110,847.4837412,547.671591
1001111,874.4316019,547.2837109
1010010,800.248256,25.32146464
1010011,768.9600919,40.78735518
1010101,713.5335444,15.18139697
1010110,716.1957003,87.05019355
1010111,711.2449488,86.13896752
1011011,1216.493848,18.77750382
1011110,1174.162623,12.79115867
1011111,1705.16492,160.9197544
1100000,626.0541186,18.52638712
1100001,482.9612003,45.07972784
1100010,461.7967806,40.26930657
1100011,445.6920622,66.15718497
1100100,713.4877375,342.3706912
1100101,436.8804445,20.36464444
1100110,416.6987786,27.22004416
1100111,405.0718793,45.94026963
1101000,939.6803779,234.184117
1101001,845.957709,468.5215784
1101010,828.0993799,472.2953347
1101011,887.0869826,505.9202968
1101100,789.4206174,366.336105
1101101,850.0883079,550.4457572
1101110,855.9653017,567.4856102
1101111,867.4070529,564.9373657
1110001,969.2863255,91.52441215
1110010,1053.879811,155.9313183
1110011,1050.692874,158.921718
1110100,723.2342989,88.67976443
1110101,717.1684054,86.6294504
1110110,701.1872165,115.125628
1110111,696.6085321,114.1547328
1111010,1538.080404,81.27867712
1111011,1417.633956,153.2550202
1111101,1483.565516,94.81232525
1111110,1697.017329,51.08771325
1111111,1728.144555,115.108803
10000010,647.5427368,86.56711935
10000011,442.9863884,16.12448842
10000101,690.7675055,33.80948135
10000110,831.7665039,408.3905449
10000111,863.9240482,432.0174679
10001000,856.1147025,78.74002527
10001010,679.5679227,45.4333093
10001011,663.8620162,27.96280195
10001100,806.064908,57.54955687
10001101,642.5429994,27.3463551
10001110,812.6370668,396.0539844
10001111,872.6605052,488.8272858
10010000,1058.292379,177.4627901
10010100,1064.329941,340.345297
10010101,877.7152047,60.58864459
10010111,1147.224203,95.21775986
10011000,614.5325643,19.41777936
10011001,625.9095208,20.74047997
10011100,1054.696589,504.8636226
10011101,653.2763976,28.11328254
10011110,1502.442768,21.07572261
10100001,703.5697333,78.43198044
10100010,694.1367169,141.2506555
10100011,433.6768256,33.45073829
10100100,569.6941818,94.16636611
10100101,852.8473236,454.0841928
10100110,864.7267661,506.7831782
10100111,871.7028735,496.9692287
10101001,672.2230054,14.17399874
10101010,669.0620565,72.94698795
10101011,658.0528498,61.70248864
10101100,534.863598,23.27854709
10101101,757.2954054,509.8516251
10101110,926.8471332,643.6389778
10101111,933.7493299,641.0102386
10110000,1023.373891,31.22855772
10110110,1162.301103,75.44071464
10110111,1144.520529,110.6664761
10111000,990.7891145,200.1020442
10111101,1271.148895,82.40932514
10111110,1521.494511,17.06780081
11000001,618.9615849,54.50478983
11000010,716.100858,255.4068177
11000011,811.7197174,414.8682653
11000100,810.9616116,122.4067986
11000101,661.4896829,42.03987688
11000110,897.9918994,635.7669374
11000111,926.8941845,650.7260248
11001000,953.9908473,317.1419392
11001001,673.9340281,77.08410877
11001010,849.8974212,513.3492903
11001011,931.0042622,645.8827241
11001100,810.9357382,141.6356821
11001101,637.3368308,80.34105779
11001110,910.4506532,713.3090986
11001111,941.0386173,721.8772624
11010000,1077.413603,146.7702644
11010011,1177.211834,162.8673224
11010111,1567.652381,89.28116454
11011011,1665.211665,26.92657581
11011100,1018.110111,10.30463214
11011111,2028.753444,10.65324936
11100000,709.0973846,31.57951287
11100001,686.4207137,252.7548537
11100010,782.3900059,403.6044925
11100011,845.6006977,500.5245705
11100100,748.7124676,246.6323915
11100101,892.2604037,626.8620797
11100110,905.7428607,665.1122627
11100111,935.4669461,671.7500595
11101000,582.4005822,69.00140364
11101001,888.1144641,618.2763967
11101010,864.9110032,575.7308467
11101011,937.8850371,673.7209506
11101100,768.6487553,361.6127692
11101101,913.3027162,716.5964721
11101110,921.6664951,736.4149044
11101111,941.3639316,737.0556797
11110000,1139.104783,102.9199143
11110010,1582.313275,33.36867081
11110011,1266.242948,14.96009571
11110111,1634.293054,49.46379148
11111011,1757.123911,221.4574747
11111110,1811.593302,14.12231835
100000000,891.7131755,33.49744715
100000110,713.8277193,63.67975054
100000111,705.7336226,61.1763848
100001000,655.5636503,46.96874434
100001100,1018.145283,457.0511893
100001101,872.759436,150.6437176
100001110,946.2267736,120.5734612
100001111,978.3194611,222.7805491
100010000,650.351169,130.8669008
100010010,818.2661347,21.39611248
100010011,778.6314286,51.43051434
100010100,609.2261129,45.54768393
100010110,955.5031302,46.77560299
100010111,723.9465992,41.97970282
100011000,601.2047286,112.3888071
100011001,586.9777485,42.14528035
100011010,789.9710634,17.60506029
100011100,605.2032607,47.28094771
100011101,634.1552694,53.23561906
100100100,553.2614994,19.17851656
100100101,722.2303219,72.05667598
100100110,695.8917611,112.8251834
100100111,686.6027192,106.4317769
100101000,887.7124291,149.9055569
100101101,916.3887641,139.543911
100101110,1050.752832,345.1411549
100101111,1037.86838,373.5360745
100110000,623.0899884,49.48261698
100110001,837.3592379,64.01568655
100110010,875.7468501,66.0997546
100110011,863.405124,75.27042932
100110101,962.9532382,58.05090441
100110110,731.7132194,33.43071017
100110111,691.922183,51.85323186
100111000,599.3543952,78.34498984
100111101,1295.361986,94.14439779
100111110,1499.918345,99.6674468
101000000,846.7845043,15.41429636
101000001,536.9095611,16.02524693
101000010,720.0399137,108.390308
101000011,712.7782812,102.895661
101000101,655.2424433,42.41827676
101000110,704.7104233,194.3527209
101000111,698.5965336,189.7718979
101001010,917.1071489,58.9372779
101001011,1077.938965,389.4904574
101001110,1004.963196,273.2798641
101001111,1080.172942,475.5780121
101010000,863.4266568,51.82875192
101010011,734.0749129,35.72414501
101010110,779.2051665,55.18665637
101010111,701.8683056,71.67876403
101011000,1260.188333,111.0898164
101011011,1369.945803,73.15560596
101011111,1616.394675,53.56627004
101100001,671.6801215,113.8149175
101100010,702.112254,137.3289016
101100011,696.5105667,134.0508834
101100100,683.9215841,190.9240672
101100101,703.7095621,194.4222297
101100110,689.8841924,214.309986
101100111,684.5341634,210.3678249
101101001,911.8242238,142.635862
101101010,997.7930851,263.2828077
101101011,1082.95214,441.4132727
101101100,1654.170217,98.30700071
101101101,1017.297183,324.841022
101101110,1087.986282,479.7341995
101101111,1078.878306,510.1638542
101110001,984.6220976,77.68178881
101110010,750.8048827,43.47099052
101110011,741.3555379,67.61326405
101110101,780.7556721,60.13973881
101110110,689.4405543,40.56335774
101110111,684.4726201,41.02781378
101111000,1291.965838,172.159678
101111001,1357.595285,95.17648036
101111011,1384.061807,21.11992381
101111110,1758.929967,24.13498625
101111111,1655.842585,92.53397277
110000000,856.1147025,78.74002527
110000100,864.233351,73.27309346
110000101,867.3203611,72.77966629
110000110,924.1511735,97.56544621
110000111,1020.988702,310.2543455
110001000,1110.398047,571.1123072
110001010,826.9935357,31.87819507
110001100,1072.535943,616.800627
110001101,875.8137581,218.6731576
110001110,1374.274488,83.98438069
110001111,1193.940902,121.8022599
110010000,614.5325646,19.41777987
110010001,616.8232657,15.35991509
110010100,1106.922003,586.3075916
110010101,652.7990758,26.52132324
110010110,1307.164031,64.65801874
110011000,565.652017,23.92674095
110011001,589.3856406,62.9794745
110011010,810.3712002,63.02381156
110011100,1095.275209,635.4939041
110011101,605.759071,47.1467175
110011110,1366.097968,18.09741494
110100000,856.0410127,72.54024016
110100010,643.7064688,42.82099103
110100011,649.6730875,43.5886261
110100101,910.3095907,127.1975397
110100110,1045.900648,329.4753469
110100111,1046.317504,393.789708
110101000,965.1633089,264.1957226
110101100,1346.909235,53.24911411
110101101,1330.079062,79.05041882
110101110,1201.085903,113.3860637
110101111,1234.991055,235.0818684
110110000,979.1265456,164.3755629
110110100,1294.322814,172.2502462
110110101,1225.75042,114.2725276
110110110,1102.584562,30.71160214
110110111,1201.139543,99.88953018
110111000,971.7954023,280.8951157
110111001,635.7916817,13.51055352
110111100,1354.944997,72.26411033
110111101,1280.721734,112.3820478
110111110,1440.260674,125.1042419
111000000,954.5647037,60.70435305
111000001,1038.638817,34.1144099
111000010,1002.278977,95.79868836
111000011,1009.523487,80.21685799
111000100,876.25398,10.96791546
111000110,1545.506334,46.98666593
111000111,1304.214068,24.52400925
111001000,722.118322,10.25372529
111001011,1449.067993,72.56201048
111001111,1650.060775,161.8348228
111010000,1423.584474,49.77498208
111100000,985.3506471,118.3962143
111100001,814.0734118,61.72925105
111100010,1067.629109,84.43257939
111100011,1074.630039,86.84863556
111100101,1417.473213,121.9796655
111100110,1768.756368,18.37408801
111100111,1617.746838,71.57027567
111101011,2043.305128,19.88250518
111101110,1677.410257,39.99343807
111101111,1680.396124,142.7782078
111110000,784.5246269,13.08377132
111110001,1328.639449,19.88386595
111110011,1965.805827,127.1450299
111110111,2054.077027,25.36590421
1000000010,648.8287995,106.9197225
1000000011,452.9389756,56.04395795
1000000100,650.4225014,15.66091777
1000000101,615.1472752,65.55463038
1000000110,457.9711202,35.13895961
1000000111,441.2113944,62.25980358
1000001000,873.1586627,24.9917771
1000001010,701.9860189,100.291584
1000001011,682.0067359,76.81112413
1000001101,638.8786786,36.05243225
1000001110,726.9700547,329.4523134
1000001111,755.3402803,360.6656903
1000010110,713.676826,19.04223561
1000010111,709.6898431,21.98650971
1000011000,622.9352676,39.26535618
1000011100,902.4508338,198.9994185
1000011101,905.9489656,158.2378653
1000011110,1123.227038,24.20409378
1000011111,1174.68755,30.97447701
1000100001,515.6105116,40.46089582
1000100010,481.8046374,47.92422573
1000100011,466.3429759,89.78968628
1000100100,669.9063057,139.5100827
1000100101,465.9008715,30.39854275
1000100110,441.8611476,36.23338493
1000100111,427.6788992,58.79931176
1000101001,718.0537581,124.8193447
1000101010,718.7270981,199.4980749
1000101011,710.4615637,194.4794418
1000101100,564.9402875,110.6514406
1000101101,831.5298827,526.4120072
1000101110,848.6882768,563.6662145
1000101111,870.1977124,566.8155526
1000110001,973.2376487,47.80964837
1000110010,1019.560022,230.1485773
1000110011,1012.745074,240.0658178
1000110100,581.9615749,17.27827886
1000110101,728.1655399,42.15327833
1000110110,709.089361,82.46949577
1000110111,703.1999737,81.27507883
1000111000,900.0245615,88.71918485
1000111011,1069.541378,84.559956
1001000000,610.8719477,14.0077232
1001000001,590.9263167,71.7678549
1001000010,479.2125587,20.0984084
1001000011,461.7834056,49.74048983
1001000100,656.4775728,183.669712
1001000101,454.5701,10.22763563
1001000110,439.1013118,13.29956942
1001000111,426.8022554,33.96252756
1001001000,943.5923149,215.979537
1001001001,670.6298444,63.77996886
1001001010,835.1913694,431.0968433
1001001011,899.7288,618.4160075
1001001100,669.8557783,150.4883721
1001001101,697.5647502,211.4839711
1001001110,875.6014138,663.7728773
1001001111,904.6037025,670.6731654
1001010010,723.329006,33.72058508
1001010011,719.5340467,35.45033163
1001010100,705.6968724,65.88903705
1001010101,715.4555925,95.79302488
1001010110,712.3358733,136.1795251
1001010111,708.8076674,135.912232
1001011011,1232.972202,95.86910938
1001011100,950.5970855,11.14750012
1001011111,1572.313223,139.1203335
1001100000,574.7601361,15.59109863
1001100001,466.0456587,36.77324891
1001100010,456.94784,30.05479127
1001100011,443.1578474,53.10930604
1001100100,724.7023548,400.2529562
1001100101,438.6569837,13.5425126
1001100110,421.6114838,21.9650619
1001100111,411.0441087,39.50159887
1001101000,923.2946912,226.5914481
1001101001,864.5493614,585.7010804
1001101010,839.4650963,536.3480719
1001101011,912.643634,640.7839116
1001101100,789.3427918,418.3688589
1001101101,877.8024939,667.0922813
1001101110,884.5261164,687.0232332
1001101111,906.998818,688.5442659
1001110001,681.3995024,16.03302653
1001110010,707.8866734,65.28818987
